Delegacia;E-mail;Nome Antigo
DELEGACIA DE POLÍCIA CIVIL DE NOVA OLINDA;1dpnovaolinda@pc.ce.gov.br;DELEGACIA MUNICIPAL DE NOVA OLINDA
DELEGACIA DE POLÍCIA CIVIL DE ORÓS;1dporos@pc.ce.gov.br;DELEGACIA MUNICIPAL DE ORÓS
DELEGACIA DE POLÍCIA CIVIL DE PARAMBU;1dpparambu@pc.ce.gov.br;DELEGACIA MUNICIPAL DE PARAMBU
DELEGACIA DE POLÍCIA CIVIL DE PEDRA BRANCA;1dppedrabranca@pc.ce.gov.br;DELEGACIA MUNICIPAL DE PEDRA BRANCA
DELEGACIA DE POLÍCIA CIVIL DE PENAFORTE;1dppenaforte@pc.ce.gov.br;DELEGACIA MUNICIPAL DE PENAFORTE
DELEGACIA DE POLÍCIA CIVIL DE ?UITERIANÓPOLIS;Não encontrado;DELEGACIA MUNICIPAL DE ?UITERIANÓPOLIS
DELEGACIA DE POLÍCIA CIVIL DE ?UIXADÁ;1dpquixada@pc.ce.gov.br;DELEGACIA REGIONAL DE ?UIXADÁ
DELEGACIA DE POLÍCIA CIVIL DE ?UIXERAMOBIM;1dpquixeramobim@pc.ce.gov.br;DELEGACIA MUNICIPAL DE ?UIXERAMOBIM
DELEGACIA DE POLÍCIA CIVIL DE RUSSAS;1dprussas@pc.ce.gov.br;DELEGACIA REGIONAL DE RUSSAS
DELEGACIA DE POLÍCIA CIVIL DE SABOEIRO;1dpsaboeiro@pc.ce.gov.br;DELEGACIA MUNICIPAL DE SABOEIRO
DELEGACIA DE POLÍCIA CIVIL DE SÃO JOÃO DO JAGUARIBE;1dpsjjaguaribe@pc.ce.gov.br;DELEGACIA MUNICIPAL DE SÃO JOÃO DO JAGUARIBE
DELEGACIA DE POLÍCIA CIVIL DE SENADOR POMPEU;1dpspompeu@pc.ce.gov.br;DELEGACIA REGIONAL DE SENADOR POMPEU
DELEGACIA DE POLÍCIA CIVIL DE SOLONÓPOLE;1dpsolonopole@pc.ce.gov.br;DELEGACIA MUNICIPAL DE SOLONÓPOLE
DELEGACIA DE POLÍCIA CIVIL DE TABULEIRO DO NORTE;1dptabuleiro@pc.ce.gov.br;DELEGACIA MUNICIPAL DE TABULEIRO DO NORTE
DELEGACIA DE POLÍCIA CIVIL DE TAUÁ;1dptaua@pc.ce.gov.br;DELEGACIA REGIONAL DE TAUÁ
DELEGACIA DE POLÍCIA CIVIL DE VÁRZEA ALEGRE;1dpvarzea@pc.ce.gov.br;DELEGACIA MUNICIPAL DE VÁRZEA ALEGRE
1ª Delegacia de Polícia Civil de Carnaubal;1dpcarnaubal@pc.ce.gov.br;
1ª Delegacia de Polícia Civil de Aiuaba;1dpaiuaba@pc.ce.gov.br;
1ª Delegacia de Polícia Civil de Caridade;1dpcaridade@pc.ce.gov.br;
1ª Delegacia de Polícia Civil de Croatá;1dpcroata@pc.ce.gov.br;
1ª Delegacia de Polícia Civil de Fortim;1dpfortim@pc.ce.gov.br;
1ª Delegacia de Polícia Civil de Frecheirinha;1dpfrecheirinha@pc.ce.gov.br;
1ª Delegacia de Polícia Civil de Ibiapina;1dpibiapina@pc.ce.gov.br;
1ª Delegacia de Polícia Civil de Palmacia;1dppalmacia@pc.ce.gov.br;
1ª Delegacia de Polícia Civil de Quixere;1dpquixere@pc.ce.gov.br;
1ª Delegacia de Polícia Civil de Reriutaba;1dpreriutaba@pc.ce.gov.br;
1ª Delegacia de Polícia Civil de Tejuçuoca;1dptejucuoca@pc.ce.gov.br;
1ª Delegacia de Polícia Civil de Tururu;1dptururu@pc.ce.gov.br;
1ª Delegacia de Polícia Civil de Umirim;1dpumirim@pc.ce.gov.br;
3ª Seccional do Interior Sul;3sis@pc.ce.gov.br;
Delegacia Eletrônica;deletron@pc.ce.gov.br;
Delegacia de Polícia Civil de Acidentes e Delitos de Transito;dadt@pc.ce.gov.br;
Inteligência - Delegacia de Polícia Civil de Tiangua;seint.1dptiangua@pc.ce.gov.br;
Investigações e Operações - 4ª Delegacia de Polícia Civil de Caucaia;seop.4dpcaucaia@pc.ce.gov.br;
Investigações e Operações - 4ª Delegacia de Polícia Civil de Maracanau;seop.4dpmaracanau@pc.ce.gov.br;
Central de Procedimentos Digitais;coplanpcce@gmail.com | coplan@pc.ce.gov.br;
Banco do Brasil - SIMBA;"simba@bb.com.br; mariohlporto@bb.com.br";
Banco Itau;procotolocentralacoesparacadastro@itau-unibanco.com.br;
Bombeiros Comando Geral;cmtgeral@cb.ce.gov.br;
Cartório do 2º Ofício da Comarca de Farias Brito/CE;heliotabeliao@hotmai.com;
Central de Acompanhamento de Medidas Cautelaraes (CAP);cmc@sap.ce.gov.br;
Coordenadoria Especial de Administração Prisional;coeap@sap.ce.gov.br;
Central de Alternativas Penais - CAP/COAP;"cap@sap.ce.gov.br; coap@sap.ce.gov.br";
Central de Alternativas Penais - (informação de imposição/revogação de medidas, solicitação de endereco e/ou contato telefônico, etc).;cmc@sap.ce.gov.br;
Central de Monitoramento Eletrônico (instalação/remoção de tomozeleira, relatório de monitoramento, etc);comep@sap.ce.gov.br;
Monitoramento Eletrônico (colocar tornozeleira);monitoramento.eletronico@sap.ce.gov.br;
CENTRO EDUCACIONAL PATATIVA DO ASSARÉ;cepa@seas.ce.gov.br ;
Comando da Polícia Militar do Ceará;gabadj.jus@pm.ce.gov.br;
Comando do Corpo de Bombeiros Militar do Ceará;cmtgeral@cb.ce.gov.br;
Conselho Tutelar de Lavras da Mangabeira - CARIRI;annacristina_as@hotmail.com ;
Controladoria Geral de Disciplina dos Orgaos de Segurança Pública;cgd@cgd.ce.gov.br;
Coordenadoria da Defensoria Criminal (Defensoria Pública);cdc@defensoria.ce.def.br;
Coordenadoria de Inteligência da Polícia Civil;guardiao.ceara@sspds.ce.gov.br;
Coordenadoria dos Estabelecimentos Prisionais (COESP) ;coesp@sap.ce.gov.br;
Delegacia da Receita Federal do Brasil - quebra de sigilo;expedientesrfb.rf03@rfb.gov.br;
Delegacia Geral de Polícia Civil do Estado do Ceará;gabinete@policiacivil.ce.gov.br;
DENATRAN;"gabinete.denatran@cidades.gov.br; denatran@cidades.gov.br; cgie@cidades.gov.br; cgie@cidades.gov.br";
Departamento de Escoltas Secretaria de Administração Penitenciária - SAP;escoltas@sap.ce.gov.br;
DEPARTAMENTO DE INFORMÁTICA DA PC;detic@policiacivil.ce.gov.br;
Departamento de Polícia Judiciária da Capital;dpc@policiacivil.ce.gov.br;
DEPARTAMENTO DE RECUPERAÇÃO DE ATIVOS E COOPERAÇÃO JURÍDICA INTERNACIONAL (DRCI) - SECRETARIA NACIONAL DE JUSTIÇA;protocolo.drci@mj.gov.br;
Departamento Estadual de Trânsito do Ceará (DETRAN/CE);judicial@detran.ce.gov.br;
DEPEN ;cgicr.dispf@mj.gov.br;
Depósito de Veículos Removidos da Polícia Civil;gestao.ativos@policiacivil.ce.gov.br;
DETRAN Santa Catarina;juridica@detran.sc.gov.br ;
Distribuição Trib de Justiça Amazonas;prot.jud1jrau@tjam.jus.br ;
Ficco;ficco.ce@sspds.ce.gov.br;
Grupo de Atuação Especial de Combate às Organizações Criminosas - GAECO;gaeco@mpce.mp.br ;
Guarda Municipal de Fortaleza - GMF;"gmf@gmf.fortaleza.ce.gov.br; protocolo@gmf.fortaleza.ce.gov.br";
Hospital Infantil Albert Sabin - diretora;patricia.sampaio@hias.ce.gov.br;
ITAÚ SÃO PAULO;ItauJudicial@itau-unibanco.com.br;
OAB/CE;presidencia@oabce.org.br;
PEFOCE - CIHPB (Coordenadoria de Identificação Humana e Perícias Biomédicas);nucce.cihpb@pefoce.ce.gov.br ;
PEFOCE - COMEL (Coodenadoria de Medicina Legal);gabinete.comel@pefoce.ce.gov.br;
Perícia Forense do Estado do Ceará - PEFOCE (Coordenadoria de Perícia Criminal);nucce.copec@pefoce.ce.gov.br;
Perícia Forense do Estado do Ceará - PEFOCE (Documento);laudos@pefoce.ce.gov.br;
Perícia Forense do Estado do Ceará - PEFOCE (NUBAF);nubaf.copec@pefoce.ce.gov.br;
Perícia Forense do Estado do Ceará - PEFOCE (Requisição de Perito Criminal);atendimento.rh@pefoce.ce.gov.br;
Presídio Militar Ceará;presidio.pm@pm.ce.gov.br;
Procuradoria Geral de Justiça - Gabinete;gabinetepgj@mpce.mp.br;
Procuradoria Geral de Justiça - MPCE;protocolo.sead@mpce.mp.br;
Protocolo Banco Central - BACEN;admin.ecm.deinf@bcb.gov.br;
Delegacia da Receita Federal do Brasil / Superintendência da Receita Federal na 3ª Região Fiscal;gabinete.drffor.rf03@rfb.gov.br;
Secretaria de Administração Penitenciária - SAP - CEAP (Coordenadoria Especial de Administração Penitenciária);ceap@sap.ce.gov.br;
Secretaria de Administração Penitenciária - SAP - COGEP (Coordenadoria de Gestão de Pessoas);cogep@sap.ce.gov.br;
Secretaria de Administração Penitenciária - SAP - GERAL;coeap@sap.ce.gov.br;
Secretaria de Administração Penitenciária - SAP - Secretário;mauro.albuquerque@sap.ce.gov.br;
Secretaria de Administração Penitenciária - SAP - Gabinete;gabinete@sap.ce.gov.br;
Secretaria de Segurança Pública e Defesa Social;secretaria@sspds.ce.gov.br;
Secretaria Nacional Antidrogas;senad@mj.gov.br;
SEFAZ/CE;"asjur@sefaz.ce.gov.br; gabinete@sefaz.ce.gov.br";
Superintendência da Polícia Federal - CE;"gab.srce@dpf.gov.br; gab.srce@pf.gov.br";
Superintendência da Polícia Rodoviária Federal - CE;gab.ce@prf.gov.br;
Superintendência Estadual do Atendimento Socioeducativo;protocolo@seas.ce.gov.gov.br ;
UBER Fortaleza;lert@uber.com;
Unidades Prisionais Ceará;https://www.sap.ce.gov.br/coeap/unidades-prisionais/;
UPA Edson Queiroz;direcaoupaeq@fundacaoldm.com.br;
Videoconferência presídio federal;cgicr.dispf@mj.gov.br;
PGE RN;gabprocuradorgeral@pge.rn.gov.br;
Procuradoria Geral do Estado - CE (PGE/CE);atendimento.projud@pge.ce.gov.br;
Perito Geral da PEFOCE (Júlio César Nogueira Torres);julio.cesar@pefoce.ce.gov.br;
Gestão de Ativos - PCCE;dra@policiacivil.ce.gov.br;
TIM;graop_oficios@timbrasil.com.br;
Claro Nextel e Embratel;oficios.doc@claro.com.br;
OI;qsoi@oi.net.br;
VIVO / GVT / Telefônica;ordens.sigilo.br@telefonica.com;
B3 Gestora do Sistema Nacional de Gravames;oficios@b3.com.br;
B3 - Valores Mobiliarios;atendimento.oficios@b3.com.br;
NÚCLEO AVANÇADO DE INTELIGÊNCIA - NAI (Tianguá);nai.tiangua@policiacivil.ce.gov.br;
NAI - Núcleo Avançado de Inteligência;Cada Delegacia Regional tem um NAI próprio;
DEPARTAMENTO DE HOMICÍDIO E PROTEÇÃO À PESSOA – DHPP;dhpp@policiacivil.ce.gov.br;
Assessoria de Apoio ao Judiciário - AAPJ (Condução Coercitiva);aasj@pc.ce.gov.br;
NÚCLEO AVANÇADO DE INTELIGÊNCIA - NAI (Crato);drcrato.inteligencia@policiacivil.ce.gov.br;
CAGECE;coordenadoria.gecadoficio@cagece.com.br;
ENEL;resposta.cliente@enel.com;
Prefeitura do Município de Eusébio;prefeitura@eusebio.ce.gov.br;
DNIT;"dg.seaa@dnit.gov.br; protocolo.ce@dnit.gov.br";
Autarquia Municipal de Trânsito - AMC (Fortaleza);"projur@amc.fortaleza.ce.gov.br; protocolo@amc.fortaleza.ce.gov.br";
Corregedoria Geral dos Presídios do Estado do São Paulo/SP;executivosap@sp.gov.br;
Centro Especializado de Apoio às Vítimas da Comarca de Fortaleza (Ceav);for.ceav@tjce.jus.br;
Policia Rodoviária Federal (Requisição para audiências);protocolo.ce@prf.gov.br;
INSS - Instituto Nacional do Seguro Social;gexfor@inss.gov.br;
COMARCA DE FORTALEZA - SEÇÃO DE DEPÓSITO PÚBLICO;for.depositopublico@tjce.jus.br;
Instituto Federal de Educação, Ciência e Tecnologia do Ceará - IFCE;gabinete.fortaleza@ifce.edu.br;
Divisão de Repreensão a Entorpecentes - Polícia Federal;"dre.drcor.srce@pf.gov.br; roberto.rlf@pf.gov.br";
COORDENADORIA DE INTELIGÊNCIA - COIN;coin@sspds.ce.gov.br;
Defensoria Pública Geral;gabinete@defensoria.ce.def.br;
Procuradoria Geral do Estado do Rio de Janeiro/RJ;gpgsecretarias@pge.rj.gov.br;
Centro Integrado de Operações de Segurança - CIOPS;adm.ciops@sspds.ce.gov.br;
Ministério da Justiça e Segurança Pública;chefiadegabinete@mj.gov.br;
SERASAJUD (e-mail para negativa);Serasajud@br.experian.com;
NÚCLEO AVANÇADO DE INTELIGÊNCIA - NAI (Sobral);"seint.1@pc.ce.gov.br; sobralnai14@gmail.com";
Central de Vagas de Medidas Socioeducativas - Estado do Ceará;contato.crv@seas.ce.gov.br;
Núcleo de Acolhimento às Vítimas de Violência – NUAVV;nuavv@mpce.mp.br;
Departamento de Polícia Judiciária do Interior Sul – DPJI/SUL;seint.dpis@pc.ce.gov.br;
Departamento de Inteligência Policial do Estado do Ceará - DIP (antigo NUIP);dip@pc.ce.gov.br;
Central de Procedimentos Digitais;"coplanpcce@gmail.com; coplan@pc.ce.gov.br";
DETRAN Paraíba;"protocolo@detran.pb.gov.br; veiculos@detran.pb.gov.br";
Requisição de Policial Militar para audiência presencial;subcmtgeral@policiamilitar.ce.gov.br;
Requisição de Policial Civil para audiência presencial;dpc@policiacivil.ce.gov.br;
Instituto Doutor José Frota - IJF;superintendencia.ijf@ijf.fortaleza.ce.gov.br;
Penitenciária Federal em Porto Velho - RO;protocolo.pfpv@mj.gov.br;
RENAJUD;renajud@cnj.jus.br;
Secretaria de Sistemas Penal e Socioeducativo da Polícia Penal do Estado do Rio Grande do Sul;gabinete@ssps.rs.gov.br;
Departamento de Inteligência Policial do Estado do Ceará (IMPEDIMENTOS ENTRE DEFENSORES);cdc@defensoria.ce.def.br;
Superintendência da Polícia Rodoviária Federal do Ceará - PRF;gab.ce@prf.gov.br;
Audiência Policia Civil ;audiencia@pc.ce.gov.br;
DETRAN Pernambuco;detran@detran.pe.gov.br;
